subject,session,meditation,band,pre_rel,post_rel,delta_pp
al,1_al_lkm,LKM,delta,46.21384999423416,44.24520568772929,-1.9686443065048707
al,1_al_lkm,LKM,theta,16.24543396948035,12.388638716889549,-3.8567952525908
al,1_al_lkm,LKM,alpha,7.3557339726986335,6.916058156488051,-0.43967581621058294
al,1_al_lkm,LKM,beta,22.758069376949194,30.34603832379352,7.587968946844324
al,1_al_lkm,LKM,gamma,3.825091836584582,3.252308445833319,-0.5727833907512632
al,2_al_mm,MM,delta,41.5085914086785,41.75884256063455,0.25025115195604997
al,2_al_mm,MM,theta,13.757732173755247,14.475569368674233,0.7178371949189852
al,2_al_mm,MM,alpha,6.349077908023314,7.408207928923165,1.0591300208998513
al,2_al_mm,MM,beta,31.993277413449754,29.902603121761146,-2.0906742916886074
al,2_al_mm,MM,gamma,3.5301621071823557,3.163428577557086,-0.36673352962526984
al,3_al_fam,FAM,delta,50.31451422095448,52.807763803778286,2.4932495828238075
al,3_al_fam,FAM,theta,18.66910958798322,18.592785983366806,-0.07632360461641241
al,3_al_fam,FAM,alpha,10.577077322343282,9.340751027794767,-1.2363262945485154
al,3_al_fam,FAM,beta,13.106720735405375,12.16958813946221,-0.9371325959431651
al,3_al_fam,FAM,gamma,1.9177548055847846,1.9017219382731134,-0.016032867311671195
al,4_al_bsm,BSM,delta,49.562338956464764,48.62352880666462,-0.9388101498001404
al,4_al_bsm,BSM,theta,19.801639699176654,18.695339182984263,-1.1063005161923911
al,4_al_bsm,BSM,alpha,9.137915392868349,10.519988759498554,1.3820733666302054
al,4_al_bsm,BSM,beta,13.480722724167503,14.097007269609056,0.6162845454415535
al,4_al_bsm,BSM,gamma,3.25102174449101,2.5901535919323413,-0.6608681525586686
al,5_al_om,OM,delta,62.34490035002473,62.917257543275824,0.5723571932510936
al,5_al_om,OM,theta,18.136569470367956,16.250187351386952,-1.886382118981004
al,5_al_om,OM,alpha,6.173568543159048,6.466676176236809,0.2931076330777609
al,5_al_om,OM,beta,8.348666944083345,9.328362403541963,0.9796954594586182
al,5_al_om,OM,gamma,1.5683930431926008,1.476601935877624,-0.09179110731497686
cc,1_chermine_cheah_fam,FAM,delta,48.086170444256304,57.09769855372568,9.011528109469374
cc,1_chermine_cheah_fam,FAM,theta,7.043789633198276,8.82179264858201,1.7780030153837334
cc,1_chermine_cheah_fam,FAM,alpha,4.293998812974995,3.424854458974174,-0.869144354000821
cc,1_chermine_cheah_fam,FAM,beta,34.8540627507564,26.79592270073747,-8.058140050018928
cc,1_chermine_cheah_fam,FAM,gamma,4.581567272125235,2.7524116703609027,-1.8291556017643322
cc,2_chermine_cheah_om,OM,delta,36.58655435306293,34.797081587627744,-1.7894727654351854
cc,2_chermine_cheah_om,OM,theta,7.645509711514563,8.682688974048464,1.0371792625339005
cc,2_chermine_cheah_om,OM,alpha,5.556601461886646,5.626119131759145,0.06951766987249908
cc,2_chermine_cheah_om,OM,beta,43.45698937272223,45.06022746522119,1.6032380924989624
cc,2_chermine_cheah_om,OM,gamma,6.316313266998472,4.494747133446553,-1.8215661335519195
cc,3_chermine_cheah_bsm,BSM,delta,21.36341092796106,44.09056249710177,22.727151569140712
cc,3_chermine_cheah_bsm,BSM,theta,11.651472458067504,13.655285367758982,2.0038129096914776
cc,3_chermine_cheah_bsm,BSM,alpha,6.322757692458177,6.964517575105343,0.6417598826471655
cc,3_chermine_cheah_bsm,BSM,beta,51.43425856235549,28.892334259119117,-22.54192430323637
cc,3_chermine_cheah_bsm,BSM,gamma,7.64738314795004,3.312183530287204,-4.335199617662836
cc,4_chermine_cheah_lkm,LKM,delta,22.227911048037825,31.410439007834718,9.182527959796893
cc,4_chermine_cheah_lkm,LKM,theta,14.631464701164655,8.520431364861393,-6.111033336303262
cc,4_chermine_cheah_lkm,LKM,alpha,6.237245001141277,5.882029003628767,-0.3552159975125102
cc,4_chermine_cheah_lkm,LKM,beta,49.321376777760264,46.18642827032751,-3.134948507432753
cc,4_chermine_cheah_lkm,LKM,gamma,6.735770137724679,6.80740808438297,0.07163794665829037
cc,5_chermine_cheah_mm,MM,delta,40.15634245586101,41.32417391548131,1.1678314596203023
cc,5_chermine_cheah_mm,MM,theta,7.196238523558156,10.219330654122786,3.0230921305646294
cc,5_chermine_cheah_mm,MM,alpha,4.165531814384527,5.236584891366147,1.0710530769816202
cc,5_chermine_cheah_mm,MM,beta,42.83209808409264,37.75190601797442,-5.080192066118222
cc,5_chermine_cheah_mm,MM,gamma,5.470838409963365,3.935573495942864,-1.5352649140205012
qy,1_qy_om,OM,delta,43.989853040658176,53.748275028948115,9.758421988289939
qy,1_qy_om,OM,theta,15.426083067921535,18.502838278580846,3.076755210659311
qy,1_qy_om,OM,alpha,7.655071367169877,10.022629605776618,2.3675582386067413
qy,1_qy_om,OM,beta,24.92975391491092,10.464194280398855,-14.465559634512063
qy,1_qy_om,OM,gamma,4.209194151323289,2.046272658491621,-2.1629214928316682
qy,2_qy_bsm,BSM,delta,49.00631865878929,67.18942495093177,18.183106292142476
qy,2_qy_bsm,BSM,theta,16.66395813342579,15.040342328348343,-1.6236158050774474
qy,2_qy_bsm,BSM,alpha,9.310108078876599,6.580594227907932,-2.729513850968667
qy,2_qy_bsm,BSM,beta,17.61252414053516,6.3468190561569795,-11.265705084378181
qy,2_qy_bsm,BSM,gamma,2.855445028404597,1.258466060212863,-1.596978968191734
qy,3_qy_fam,FAM,delta,44.992864853650886,44.09648039398107,-0.8963844596698181
qy,3_qy_fam,FAM,theta,15.565285493069325,14.01620234371731,-1.5490831493520147
qy,3_qy_fam,FAM,alpha,8.794785489041853,7.686984454195699,-1.1078010348461547
qy,3_qy_fam,FAM,beta,22.13630661698931,27.463826434465748,5.327519817476439
qy,3_qy_fam,FAM,gamma,4.465519077189196,3.768049763035869,-0.6974693141533268
qy,4_qy_mm,MM,delta,38.94055508043388,25.849152940280312,-13.09140214015357
qy,4_qy_mm,MM,theta,15.959906597208894,11.121449939821545,-4.838456657387349
qy,4_qy_mm,MM,alpha,10.21141771098216,9.298940414376858,-0.9124772966053012
qy,4_qy_mm,MM,beta,27.291333148840796,45.84499235149335,18.553659202652558
qy,4_qy_mm,MM,gamma,3.4752078952348753,4.975173897482518,1.499966002247643
qy,5_qy_lkm,LKM,delta,57.32829595699909,40.88939256272777,-16.43890339427132
qy,5_qy_lkm,LKM,theta,15.344779230889928,16.213415437115945,0.8686362062260162
qy,5_qy_lkm,LKM,alpha,8.214408709276945,11.27326501599656,3.0588563067196155
qy,5_qy_lkm,LKM,beta,11.959800244752923,20.885640875502894,8.92584063074997
qy,5_qy_lkm,LKM,gamma,3.2471451882442866,5.569104084548505,2.321958896304219
rt,1_rt_lkm,LKM,delta,30.524609136223216,35.002441828552016,4.4778326923288
rt,1_rt_lkm,LKM,theta,13.690610900740825,14.769146530321526,1.078535629580701
